Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Alamgir,Peace Party,0,12th Pass,46,20227383,600000
Anuj Sharma,INC, 1 ,8th Pass,36,1103354,0
Derek Smith,Adarsh Samaj Party,0,Post Graduate,68,107708671,0
Mohd Kamil,Indian Union Muslim League, 4 ,Literate,33,767712,0
Prem Singh,Lokpriya Rashtrawadi Party,0,10th Pass,51,32500,0
Ramjani,AAP, 4 ,8th Pass,49,5178350,200000
Rashid Ali Choudhary,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,35,12454000,0
Ravi Bharadwaj,BSP,0,12th Pass,45,21362171,438407
Vinay Agarwal,SP,0,Graduate,50,22830691,6303292
Yogendra Upadhyaya,BJP, 4 ,Post Graduate,66,45622250,0
Gyanendra,SP, 1 ,Graduate Professional,40,33912183,4682844
Kapil Vajpai,AAP,0,Graduate,42,4024447,4300
Manish,IND,0,Post Graduate,36,9400000,0
Mohit Agarwal,Jan Abhiyan Party,0,Post Graduate,45,3357238,0
Neel,Bharatiya Majdoor Janta Party,0,12th Pass,29,10000,0
Niranjan Singh,IND,0,10th Pass,62,11835000,0
Om Prakash Rajput,Adarsh Samaj Party,0,Post Graduate,56,13094900,0
Purushottam Khandelwal,BJP,0,10th Pass,60,11789777,0
Rajeev Agarwal,Saman Adhikar Party,0,Graduate,64,16072861,5230219
Sashank Agarwal,IND,0,Post Graduate,29,2940953,0
Shabbir Abbas,BSP,0,Post Graduate,56,247429624,14324271
Vineet Agarwal,IND,0,Graduate,42,173319,0
Vinod Bansal,INC, 1 ,Post Graduate,70,23190729,1406000
Arun Kumar Katheria,AAP,0,Graduate Professional,37,3692428,1206945
Baby Rani Maurya,BJP,0,Post Graduate,65,28672774,0
Balvir,Rashtriya Samaj Paksha,0,Graduate,30,61511170,0
Kiran Prabha Keshari,BSP,0,Graduate Professional,41,15230358,1378073
Mahesh Kumar,RLD, 2 ,5th Pass,52,98780881,7251846
Pankaj Kumar,IND,0,Graduate Professional,28,28127944,1378323
Rajendra Singh,IND,0,8th Pass,45,3575685,0
Suresh Chand Varun,IND,0,10th Pass,30,20000,0
Upendra Singh,INC, 2 ,Post Graduate,51,35511225,3399372
Babulal,BJP, 7 ,10th Pass,69,67137618,900000
Brijesh Kumar,RLD, 6 ,Post Graduate,47,65220000,0
Dr.Kumrendra Singh,IND,0,Doctorate,62,75122736,0
Hemant Singh,INC,0,Graduate,32,19637518,2571102
Hina Naz Sheravani,VANCHITSAMAJ INSAAF PARTY,0,8th Pass,33,404900,0
Jagdish,Aazad Samaj Party (Kanshi Ram),0,8th Pass,60,50000,0
Lekhraj,IND,0,Literate,51,666000,0
Mukesh Kumar,BSP,0,Graduate Professional,34,32782544,2323729
Sangeeta,Bharatiya Majdoor Janta Party,0,Literate,45,18685000,0
Saurabh Singh Parmar,IND,0,Graduate,28,1032000,0
Yogendra Singh Chahar,IND,0,Post Graduate,47,23970000,1000000
Ambedakari Hasanuram Ambedakari,IND, 1 ,Literate,67,1100,0
Ashok Kumar,Bharatiya Subhash Sena,0,Post Graduate,60,8478000,0
Banwarilal,AAP,0,Post Graduate,55,5021049,520000
Bhagwan Singh Kushwaha,BJP, 1 ,Graduate Professional,53,11444482,0
Gangadhar Kushwah,BSP,0,Post Graduate,57,31931186,0
Laxmi Narayan,IND,0,10th Pass,49,414000,0
Neeraj Kumar Rawat,IND, 3 ,12th Pass,33,705000,0
Ramnath Singh Sikarwar,INC, 10 ,Graduate,53,5255000,0
Randhaur Singh,IND, 1 ,8th Pass,43,6915000,500000
Rohtan,RLD, 1 ,10th Pass,35,41580000,350000
Satish Chandra Bhardwaj,Saman Adhikar Party,0,Post Graduate,61,4085000,0
Shyam Sundar,IND,0,Graduate,28,649062,0
Uday Singh,IND,0,Post Graduate,45,765200,0
Ajay Kumar,Log Party,0,Graduate,30,230000,0
Bhuri,IND,0,Post Graduate,37,14221490,612000
Chhotey Lal Verma,BJP,0,8th Pass,68,63914393,1137492
Hotam Singh Nishad,INC,0,Graduate,33,17922000,382650
Mahinder Singh Verma,IND,0,Post Graduate,38,19724035,1057058
Narendra Singh,Bhartiya Veer Dal,0,Graduate,35,1115000,0
Pramod Kumari Kushwah,IND,0,12th Pass,45,8702767,0
