Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Ramesh Rathod,Adilabad,TDP, 2 ,12th Pass,3410000,815241
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,1511000,639959
HARIN PATHAK,Ahmedabad East,BJP, 2 ,Post Graduate,14578184,22734
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,26122439,709488
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP, 9 ,10th Pass,13053391,955351
SACHIN PILOT,Ajmer,INC,0,Post Graduate,46489558,0
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,4400000,838099
DHOTRE SANJAY SHAMRAO,Akola,BJP, 4 ,Graduate Professional,19335144,2221980
K C Venugopal,Alappuzha,INC,0,Post Graduate,3533704,203374
P K Biju,Alathur,CPM,0,Post Graduate,461000,0
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,34034506,0
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,2358725,0
KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,18640164,226475
PRADEEP TAMTA,Almora,INC,0,Post Graduate,1590000,0
JITENDRA SINGH,Alwar,INC,0,Graduate,67967810,0
G V Harsha Kumar,Amalapuram,INC, 1 ,Post Graduate,7289000,1014298
SELJA,Ambala,INC,0,Post Graduate,46711386,0
RAKESH PANDEY,Ambedkar Nagar,BSP, 3 ,8th Pass,164078904,0
RAHUL GANDHI,Amethi,INC,0,Post Graduate,23274706,2335000
ADSUL ANANDRAO VITHOBA,Amravati,SHS, 1 ,Graduate,17708418,0
NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,4748283,300000
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,145037236,0
DEVENDRA NAGPAL,Amroha,RLD, 6 ,Graduate,132425712,13960788
Sabbam Hari,Anakapalle,INC,0,12th Pass,85032286,450000
RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,21821443,300000
