Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Aparupa Poddar (Afrin Ali),ARAMBAG,AITC, 1 ,Post Graduate,12527597,4244000
Vishnuprasad. M.K,ARANI,INC, 1 ,Graduate Professional,234564815,33409505
Pradeep Kumar Singh,ARARIA,BJP, 3 ,10th Pass,5010577,1159200
R. K. Singh,ARRAH,BJP, 1 ,Graduate Professional,79971720,0
Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,136628259,0
Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,15279000,0
Pramila Bisoyi,ASKA,BJD,0,5th Pass,732470,0
Adoor Prakash,ATTINGAL,INC, 7 ,Graduate Professional,144098612,27622685
Imtiaz Jaleel Syed,AURANGABAD,AIMIM, 4 ,Post Graduate,29562768,6800000
Sushil Kumar Singh,AURANGABAD,BJP, 3 ,Post Graduate,167895109,3746607
Horen Sing Bey,AUTONOMOUS DISTRICT,BJP, 2 ,Graduate,20693570,5956209
Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,377859166,2853000
Sangh Mitra Maurya,BADAUN,BJP, 2 ,Graduate Professional,40372093,0
Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,43980663,7987991
Dr. Satyapal Singh,BAGHPAT,BJP, 1 ,Post Graduate,78195793,0
Adhir Ranjan Chowdhury,BAHARAMPUR,INC, 7 ,10th Pass,101315437,8506984
Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,45691463,3028133
Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,88648133,1530693
Pratap Chandra Sarangi,BALASORE,BJP, 7 ,Graduate,1346236,160
Virendra Singh,BALLIA,BJP, 2 ,Graduate,24498319,0
Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,5825866,2168170
Parbatbhai Patel,BANASKANTHA,BJP,0,Graduate Professional,41819177,4500000
R.K. Singh Patel,BANDA,BJP, 2 ,Graduate,55794086,0
P. C. Mohan,BANGALORE CENTRAL,BJP,0,12th Pass,755529306,312521957
D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,209384539,104302653
D.K. Suresh,BANGALORE RURAL,INC, 5 ,12th Pass,3388920717,519320305
Tejasvi Surya,BANGALORE SOUTH,BJP,0,Graduate Professional,1346593,0
Shantanu Thakur,BANGAON,BJP, 8 ,Graduate,5265388,0
Giridhari Yadav,BANKA,JD(U), 1 ,Post Graduate,19816050,405701
Subhas Kumar Sarkar,BANKURA,BJP, 1 ,Graduate Professional,19799440,3261495
Kamlesh Paswan,BANSGAON,BJP, 5 ,Graduate,171706883,6049264
Kanakmal Katara,BANSWARA,BJP,0,Graduate Professional,58711904,1746729
Suresh Babu Nandigam,BAPATLA,YSRCP,0,8th Pass,4158610,269000
Upendra Singh Rawat,BARABANKI,BJP, 1 ,Post Graduate,18050127,3171774
Supriya Sadanand Sule,BARAMATI,NCP,0,Graduate,1408888704,5500000
Mohammad Akbar Lone,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate Professional,597434000,104935
Dr. Kakoli Ghoshdastidar,BARASAT,AITC, 2 ,Post Graduate,40531018,1496059
Surendrajeet Singh Ahluwalia,BARDHAMAN DURGAPUR,BJP,0,Graduate Professional,26521750,744076
Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,20371283,148598
Parbhubhai Nagarbhai Vasava	,BARDOLI,BJP,0,Others,28350217,3676869
Santosh Kumar Gangwar,BAREILLY,BJP,0,Graduate Professional,126356142,13055209
Suresh Pujari,BARGARH,BJP,0,Post Graduate,11673429,0
Kailash Choudhary,BARMER,BJP, 2 ,Graduate,2402250,0
Abdul Khaleque,BARPETA,INC,0,Post Graduate,7398753,2703693
Arjun Singh,BARRACKPUR,BJP, 24 ,10th Pass,8055691,1100000
Nusrat Jahan Ruhi,BASIRHAT,AITC,0,12th Pass,29088391,16881608
Deepak Kumar Baij,BASTAR,INC, 1 ,Post Graduate,7721293,1801236
Harish Chandra Alias Harish Dwivedi,BASTI,BJP, 5 ,Post Graduate,8662344,322490
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,2179919870,954852600
Pritam Gopinathrao Munde,BEED,BJP, 1 ,Post Graduate,167477926,98833794
Giriraj Singh,BEGUSARAI,BJP, 6 ,Graduate,83024577,12236000
Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,366164525,198479638
Y. Devendrappa,BELLARY,BJP,0,5th Pass,40107878,250000
Chandra Sekhar Sahu,BERHAMPUR,BJD,0,10th Pass,11716989,0
Durga Das (D.D.) Uikey,BETUL,BJP,0,Post Graduate,15413532,875803
Ramesh Chand,BHADOHI,BJP, 6 ,10th Pass,94089148,21696413
Manjulata Mandal,BHADRAK,BJD,0,Graduate,39417891,8958149
Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,6801126,5364747
Sunil Baburao Mendhe,BHANDARA GONDIYA,BJP, 2 ,Others,627543615,19861338
Ranjeeta Kumari,BHARATPUR,BJP,0,8th Pass,3117190,0
Mansukhbhai Vasava,BHARUCH,BJP,0,Post Graduate,6835957,0
Dr.Bharatiben Dhirubhai Shiyal,BHAVNAGAR,BJP,0,Graduate Professional,17753161,3689036
Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,232703276,1827380
Sandhya Ray,BHIND,BJP,0,Post Graduate,51108660,13400000
Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,418850781,5645459
Dharambir Singh,BHIWANI MAHENDRAGARH,BJP,0,Graduate,60642205,240000
Komatireddy Venakat Reddy,BHONGIR,INC, 14 ,12th Pass,162543845,24069129
Sadhvi Pragya Singh Thakur,BHOPAL,BJP, 1 ,Post Graduate,444224,0
Aparajita Sarangi,BHUBANESWAR,BJP,0,Graduate,31677600,4329959
Bhagwanth Khuba,BIDAR,BJP, 1 ,Graduate Professional,51836416,10239000
Jigajinagi Ramesh Chandappa,BIJAPUR,BJP,0,Graduate,504122985,1600000
Malook Nagar,BIJNOR,BSP, 7 ,Graduate,2499628021,1016148176
Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,23524459,1060314
Arun Sao,BILASPUR,BJP,0,Graduate Professional,13544588,50000
Satabdi Roy (Banerjee),BIRBHUM,AITC,0,Graduate,48652722,18604443
Saumitra Khan,BISHNUPUR,BJP, 6 ,12th Pass,8656777,1077120
Smt. Sangeeta Kumari Singh Deo,BOLANGIR,BJP,0,Graduate,379590851,7500000
Asit Kumar Mal,BOLPUR,AITC,0,10th Pass,1310691,0
Bhola Singh,BULANDSHAHR,BJP, 1 ,Graduate,18728861,0
Prataprao Ganpatrao Jadhav,BULDHANA,SHS, 3 ,12th Pass,116272966,735482
Ashwini Kumar Choubey,BUXAR,BJP, 3 ,Graduate,40183612,1350667
Benny Behanan,CHALAKUDY,INC, 4 ,Graduate,20461931,915938
V Srinivas Prasad,CHAMARAJANAGAR,BJP,0,Post Graduate,143804441,324909
Dr. Mahendra Nath Pandey,CHANDAULI,BJP,0,Doctorate,33359734,0
Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,474983574,6279188
Harsh Vardhan,CHANDNI CHOWK,BJP,0,Post Graduate,30171897,0
Dhanorkar Suresh Narayan,CHANDRAPUR,INC, 5 ,12th Pass,137455342,22752880
Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,226209137,1889051
Dayanidhi Maran,CHENNAI CENTRAL,DMK, 1 ,Graduate,116790616,0
Dr. Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,405294714,258386550
Sumathy Alias Thamizhachi Thangapandian,CHENNAI SOUTH,DMK,0,Doctorate,91793460,500000
Dr.Gaddam Ranjith Reddy,CHEVELLA,TRS,0,Post Graduate,1634695131,197007553
Nakul Nath,CHHINDWARA,INC,0,Graduate,6601946757,8791712
Rathva Gitaben Vajesingbhai,CHHOTA UDAIPUR,BJP,0,12th Pass,8634660,0
Thirumaavalavan Thol,CHIDAMBARAM,Viduthalai Chiruthaigal Katchi, 3 ,Doctorate,9244092,394248
B.N.Bache Gowda,CHIKKBALLAPUR,BJP,0,Graduate Professional,1153501141,0
Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,344922831,195595693
A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,96197642,0
N. Reddeppa,CHITTOOR,YSRCP,0,Post Graduate,17355862,1341542
Chandra Prakash,CHITTORGARH,BJP,0,Graduate,19725115,100000
Rahul Kaswan,CHURU,BJP,0,Graduate,36723865,15163379
P R Natarajan,COIMBATORE,CPI(M), 1 ,12th Pass,20284430,3234168
Sri Nisith Pramanik,COOCH BEHAR,BJP, 11 ,8th Pass,9629810,0
T. R. V .S. Ramesh,CUDDALORE,DMK,0,Graduate Professional,423378552,102828604
Bhartruhari Mahtab,CUTTACK,BJD,0,Post Graduate,106894976,0
Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,0,Graduate,708885980,37268162
Jasvantsinh Sumanbhai Bhabhor,DAHOD,BJP,0,Graduate Professional,27070480,0
Nalin Kumar Kateel,DAKSHINA KANNADA,BJP, 4 ,10th Pass,14678300,4450945
Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,213993750,9969514
Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,43292483,4230614
Gopaljee Thakur,DARBHANGA,BJP,0,Post Graduate,19301808,1039660
Raju Bista,DARJEELING,BJP,0,Graduate,151106062,27428941
Jaskaur Meena,DAUSA,BJP,0,Post Graduate,143742564,5825431
G M Siddeshwar,DAVANAGERE,BJP,0,10th Pass,380164932,14670809
Ramapati Ram Tripathi,DEORIA,BJP, 1 ,Graduate Professional,29451678,9310684
Mahendra Singh Solanky,DEWAS,BJP,0,Graduate Professional,3812464,1832631
Pashupati Nath Singh,DHANBAD,BJP,0,Graduate,27286918,0
Chhatar Singh Darbar,DHAR,BJP, 1 ,Post Graduate,23198238,2471613
Dnv Senthilkumar.S,DHARMAPURI,DMK, 1 ,Post Graduate,48477451,6053502
Pralhad Joshi,DHARWAD,BJP, 1 ,Graduate,111384447,51736254
Rekha Verma,DHAURAHRA,BJP, 3 ,12th Pass,24735488,7095916
Mahesh Sahoo,DHENKANAL,BJD, 1 ,12th Pass,14529286,0
Badruddin Ajmal,DHUBRI,AIUDF, 7 ,Post Graduate,788064044,10159381
Subhash Ramrao Bhamre,DHULE,BJP, 2 ,Post Graduate,158651112,1000000
Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,13794320,0
Rameswar Teli,DIBRUGARH,BJP,0,10th Pass,4370067,0
Velusamy P,DINDIGUL,DMK,0,Illiterate,148076407,31474526
Bharti Pawar,DINDORI,BJP,0,Graduate Professional,122885349,1449572
Jagdambika Pal,DOMARIYAGANJ,BJP, 3 ,Post Graduate,103366710,2838478
Sougata Ray,DUM DUM,AITC, 1 ,Post Graduate,42518790,0
Sunil Soren,DUMKA,BJP,0,12th Pass,4737559,685516
Vijay Baghel,DURG,BJP,0,Graduate,34429027,8748686
Gautam Gambhir,EAST DELHI,BJP, 1 ,12th Pass,1471587789,342035860
Sridhar Kotagiri	,ELURU,YSRCP,0,Graduate,462808829,33560974
Hibi Eden,ERNAKULAM,INC, 7 ,Graduate,7908467,200000
Ganeshamurthi A,ERODE,DMK,0,Graduate,43110000,2060000
Rajveer Singh,ETAH,BJP,0,Graduate Professional,383629735,100220000
Dr Ram Shankar Katheria,ETAWAH,BJP, 12 ,Doctorate,15154538,7304616
Lallu Singh,FAIZABAD,BJP, 1 ,Post Graduate,31884642,11276478
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,369652786,105593242
Mohammad Sadique,FARIDKOT,INC,0,5th Pass,19793884,311043
Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,74964501,388246
Amar Singh,FATEHGARH SAHIB,INC,0,Post Graduate,32808836,0
Sadhvi Niranjan Jyoti,FATEHPUR,BJP,0,12th Pass,10667372,910148
Rajkumar Chahar,FATEHPUR SIKRI,BJP, 3 ,Graduate,14854247,356404
Dr. Chandra Sen Jadon,FIROZABAD,BJP,0,Graduate Professional,42872395,0
Sukhbir Singh Badal,FIROZPUR,SAD, 4 ,Post Graduate,2179919870,954852600
Ashok Mahadevrao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,50136369,15682840
Amit Shah,GANDHINAGAR,BJP, 4 ,12th Pass,403275307,4769587
Nihal Chand,GANGANAGAR,BJP,0,Graduate,21014362,3631287
Tirath Singh Rawat,GARHWAL,BJP,0,Post Graduate,15032657,3500000
Queen Oja,GAUHATI,BJP,0,Graduate,630219570,34034178
Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,478759568,43863749
Vijay Kumar,GAYA,JD(U), 3 ,12th Pass,12766141,3148932
Deepak Adhikari,GHATAL,AITC,0,Others,317320579,7879681
Vijay Kumar Singh,GHAZIABAD,BJP, 2 ,Doctorate,56545702,0
Afzal Ansari,GHAZIPUR,BSP, 5 ,Post Graduate,137938756,0
Atul Kumar Singh,GHOSI,BSP, 13 ,Graduate,66536025,3454591
Chandra Prakash Choudhary,GIRIDIH,AJSU Party, 2 ,Graduate,13456889,1330000
Nishikant Dubey,GODDA,BJP, 4 ,Doctorate,462757500,0
Kirti Vardhan Singh Alias Raja Bhaiya,GONDA,BJP,0,Post Graduate,232735285,23201603
Dr. Alok Kumar Suman,GOPALGANJ,JD(U),0,Post Graduate,32739903,3576376
Ravindra Shyamnarayan Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,208494688,17711043
Dr. Umesh G Jadhav,GULBARGA,BJP,0,Post Graduate,37490597,0
Krishna Pal Singh,GUNA,BJP,0,Graduate Professional,16266408,494053
Jayadev Galla,GUNTUR,TDP,0,Graduate,3051485242,203452417
Ajay Singh Dharmendra Deol (Sunny Deol),GURDASPUR,BJP,0,Others,871925679,534644785
Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,420970754,31500000
Vivek Narayan Shejwalkar,GWALIOR,BJP,0,Graduate Professional,58911673,0
Pashupati Kumar Paras,HAJIPUR,LJP, 1 ,Graduate Professional,62834200,6744375
Anurag Singh Thakur,HAMIRPUR,BJP, 3 ,Graduate,56770463,1085145
Kunwar Pushpendra Singh,HAMIRPUR,BJP, 4 ,Post Graduate,167159924,35502582
Jai Prakash,HARDOI,BJP,0,Graduate,234032624,2615368
Ramesh Pokhriyal Nishank,HARIDWAR,BJP,0,Doctorate,28739888,16444
Prajwal R,HASSAN,JD(S),0,Graduate Professional,97848632,37253210
Rajvir Diler,HATHRAS,BJP,0,12th Pass,14930000,0
Dhairyashil Sambhajirao Mane,HATKANANGLE,SHS,0,Graduate,47771462,41599959
Udasi. S.C.,HAVERI,BJP,0,12th Pass,718499195,165566495
Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,770749002,193271437
Kuruva Gorantla Madhav,HINDUPUR,YSRCP, 2 ,Graduate,1787356,730332
Patil Hemant Shriram,HINGOLI,SHS,0,Graduate,18594458,1299983
Brijendra Singh,HISAR,BJP,0,Post Graduate,146408734,27225637
Locket Chatterjee,HOOGHLY,BJP, 14 ,Graduate,35655698,0
Rao Uday Pratap Singh,HOSHANGABAD,BJP, 1 ,Graduate,154783105,9103300
Som Parkash,HOSHIARPUR,BJP,0,Post Graduate,29404519,0
Prasun Banerjee,HOWRAH,AITC, 1 ,Graduate,13216066,0
Asaduddin Owaisi,HYDERABAD,AIMIM, 5 ,Graduate Professional,179044376,120500000
Dean Kuriakose,IDUKKI,INC, 204 ,Post Graduate,13395011,10000000
Shankar Lalwani,INDORE,BJP, 2 ,Graduate Professional,59038508,2106382
Dr Rajkumar Ranjan Singh,INNER MANIPUR,BJP,0,Doctorate,19616174,0
Rakesh Singh,JABALPUR,BJP, 1 ,Graduate,43134351,1387000
Mimi Chakraborty,JADAVPUR,AITC,0,Graduate,24398786,1900788
Rajashree Mallick,JAGATSINGHPUR,BJD,0,Graduate Professional,40023972,1433305
Chandeshwar Prasad,JAHANABAD,JD(U), 3 ,10th Pass,139271693,0
Ram Charan Bohra,JAIPUR,BJP,0,12th Pass,165322707,22000000
Col. Rajyavardhan Rathore,JAIPUR RURAL,BJP,0,Graduate,127808070,0
Sarmistha Sethi,JAJPUR,BJD,0,Post Graduate,15837082,0
Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,99925185,2534363
Bhanu Pratap Singh,JALAUN,BJP, 1 ,Post Graduate,10699516,12265
Unmesh Bhaiyyasaheb Patil,JALGAON,BJP, 1 ,Graduate Professional,12324604,2529954
Danve Raosaheb Dadarao,JALNA,BJP, 2 ,Graduate,229557992,2400000
Devaji Patel,JALORE,BJP,0,10th Pass,88332292,60936530
Jayanta Kumar Roy,JALPAIGURI,BJP,0,Graduate Professional,11625047,1352581
Jugal Kishore,JAMMU,BJP,0,10th Pass,56481801,350040219
Poonamben Hematbhai Maadam,JAMNAGAR,BJP,0,Graduate,427331034,98632194
Bidyut Baran Mahato,JAMSHEDPUR,BJP, 3 ,12th Pass,27750671,2961830
Chirag Kumar Paswan,JAMUI,LJP, 1 ,Graduate Professional,18466066,0
Khalilur Rahaman,JANGIPUR,AITC,0,Graduate,368306705,2248968
Guharam Ajgalle,JANJGIR CHAMPA,BJP,0,Graduate Professional,18400837,0
Shyam Singh Yadav,JAUNPUR,BSP,0,Post Graduate,140717620,3577000
Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,27471675,0
Dushyant,JHALAWAR BARAN,BJP,0,Post Graduate,370432373,85824156
Ramprit Mandal,JHANJHARPUR,JD(U), 1 ,10th Pass,88119686,1000000
Anurag Sharma,JHANSI,BJP,0,Post Graduate,1243060113,14212970
Kunar Hembram,JHARGRAM,BJP,0,Graduate Professional,10387498,565000
Narendra Kumar,JHUNJHUNU,BJP, 1 ,Graduate,47474109,3278401
Gajendra Singh Shekhawat,JODHPUR,BJP, 1 ,Post Graduate,138029511,58573744
Topon Kumar Gogoi,JORHAT,BJP,0,Post Graduate,12597461,455398
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP, 1 ,12th Pass,10866041,1481768
Chavda Vinod Lakhamshi,KACHCHH,BJP,0,Post Graduate,33508455,12458607
Yeduguri Sandinti Avinash Reddy,KADAPA,YSRCP, 4 ,Post Graduate,186969794,22833319
Pradeep Kumar,KAIRANA,BJP, 5 ,Post Graduate,17292937,1300000
Brij Bhushan Sharan Singh,KAISERGANJ,BJP, 4 ,Graduate Professional,98905402,61524736
Vanga Geetha Viswanatham,KAKINADA,YSRCP,0,Post Graduate,202528594,34416887
Basanta Kumar Panda,KALAHANDI,BJP, 3 ,12th Pass,9547000,0
Gaurav Gogoi,KALIABOR,INC,0,Post Graduate,13727834,1250000
Gautham Sigamani Pon,KALLAKURICHI,DMK, 1 ,Post Graduate,471186830,81131909
Dr. Shrikant Eknath Shinde,KALYAN,SHS, 1 ,Post Graduate,19616515,1241233
Selvam.G,KANCHEEPURAM,DMK,0,Post Graduate,48172936,0
Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,1244722,0
Kishan Kapoor,KANGRA,BJP, 2 ,12th Pass,85841247,3605161
Mohan Mandavi,KANKER,BJP,0,Post Graduate,28675553,679000
Subrat Pathak,KANNAUJ,BJP, 11 ,Graduate,54287991,28993930
Vasanthakumar H,KANNIYAKUMARI,INC,0,Post Graduate,4174930444,1547511439
K Sudhakaran,KANNUR,INC, 3 ,Post Graduate,29699206,7468633
Satyadev Pachauri,KANPUR,BJP,0,Post Graduate,132382819,31052190
Sisir Kumar Adhikari,KANTHI,AITC, 3 ,12th Pass,33979650,0
Mahabali Singh,KARAKAT,JD(U), 3 ,8th Pass,43442051,3000000
Manoj Rajoria,KARAULI DHOLPUR,BJP,0,Post Graduate,64867148,22121569
Kripanath Mallah,KARIMGANJ,BJP,0,Graduate,1871040,0
Bandi Sanjay Kumar,KARIMNAGAR,BJP, 6 ,Post Graduate,2270000,1341800
Sanjay Bhatia,KARNAL,BJP,0,Graduate,2256739,500000
Jothimani S,KARUR,INC,0,Post Graduate,6046055,379000
Rajmohan Unnithan,KASARAGOD,INC, 1 ,Graduate,21570257,862257
Dulal Chandra Goswami,KATIHAR,JD(U), 1 ,Graduate,13302734,3130766
Vinod Kumar Sonkar,KAUSHAMBI,BJP, 4 ,Graduate,59336113,20730086
Anubhav Mohanty,KENDRAPARA,BJD,0,Graduate,22309172,4133506
Chandrani Murmu,KEONJHAR,BJD,0,Graduate Professional,340580,0
Jasbir Singh Gill,KHADOOR SAHIB,INC,0,Others,81393500,4655000
Choudhary Mahbub Ali Kaisar,KHAGARIA,LJP, 1 ,Graduate,109788313,0
Vishnu Datt Sharma,KHAJURAHO,BJP,0,Post Graduate,10589334,2507176
Nama Nageswr Rao,KHAMMAM,TRS, 5 ,12th Pass,1074671341,80721594
Nandkumar Singh Chouhan (Nandu Bhaiya),KHANDWA,BJP,0,Post Graduate,19076515,4819099
Gajendra Umrao Singh Patel,KHARGONE,BJP,0,Graduate Professional,67303990,1885020
Chauhan Devusinh,KHEDA,BJP,0,Others,13023202,995240
Ajay Kumar,KHERI,BJP, 1 ,Graduate Professional,45295455,0
Arjun Munda,KHUNTI,BJP,0,12th Pass,91507865,27106434
Dr. Mohammad Jawed,KISHANGANJ,INC, 1 ,Graduate Professional,90973803,5383958
Annapurna Devi,KODARMA,BJP,0,Post Graduate,97636939,3189066
Naba Kumar Sarania,KOKRAJHAR,IND, 5 ,12th Pass,13013994,175069
S. Muniswamy,KOLAR,BJP, 2 ,12th Pass,174557500,19865690
Sanjay Sadashivrao Mandlik,KOLHAPUR,SHS,0,Post Graduate,95171892,10580414
Mala Roy,KOLKATA DAKSHIN,AITC, 3 ,Graduate,10308401,0
Bandyopadhyay Sudip,KOLKATA UTTAR,AITC, 2 ,Graduate,61176355,0
Premachandran N K,KOLLAM,Revolutionary Socialist Party, 5 ,Graduate Professional,17500650,3270587
Karadi Sanganna Amarappa,KOPPAL,BJP, 1 ,10th Pass,28725791,22475333
Saptagiri Sankar Ulaka,KORAPUT,INC,0,Graduate Professional,37587560,1217963
Jyotsna Mahant,KORBA,INC,0,Post Graduate,150639697,0
Om Birla,KOTA,BJP, 1 ,Post Graduate,48347737,0
Thomas Chazhikadan,KOTTAYAM,Kerala Congress (M),0,Graduate Professional,26027478,495778
M.K.Raghavan,KOZHIKODE,INC, 1 ,Graduate,12502009,3174805
Dr.A.Chellakumar,KRISHNAGIRI,INC, 5 ,Post Graduate,121087979,66817959
Mahua Moitra,KRISHNANAGAR,AITC,0,Graduate,26495250,671138
Dr Sanjeev Kumar,KURNOOL,YSRCP,0,Post Graduate,325914387,62070621
Nayab Singh,KURUKSHETRA,BJP,0,Graduate Professional,35785621,5720000
Vijay Kumar Dubey,KUSHI NAGAR,BJP, 2 ,12th Pass,21860780,316847
Tsering Namgyal,LADAKH,BJP, 1 ,Graduate,981904,0
Pradan Baruah,LAKHIMPUR,BJP,0,12th Pass,14307978,5839285
Mohammed Faizal Pp,LAKSHADWEEP,NCP, 2 ,Post Graduate,938641,0
Sangeeta Azad,LALGANJ,BSP,0,Graduate Professional,88451770,0
Sudhakar Tukaram Shrangare,LATUR,BJP,0,10th Pass,286478302,100250602
Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,12947303,525000
Rajnath Singh,LUCKNOW,BJP,0,Post Graduate,51492709,0
Ravneet Singh Bittu,LUDHIANA,INC, 3 ,12th Pass,54281096,3331266
Bholanath (B.P. Saroj),MACHHLISHAHR,BJP,0,Graduate,259027394,11194163
Balashowry Vallabhaneni,MACHILIPATNAM,YSRCP, 2 ,Post Graduate,990575840,746310844
Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,BJP, 2 ,12th Pass,1275160578,896315287
Dinesh Chandra Yadav,MADHEPURA,JD(U), 1 ,Graduate Professional,37420953,700000
Ashok Kumar Yadav,MADHUBANI,BJP, 1 ,Doctorate,46699125,7892847
Venkatesan S,MADURAI,CPI(M),0,12th Pass,1811456,0
Kavitha Malothu,MAHABUBABAD,TRS, 1 ,Graduate,19731269,1252068
Janardan Singh Sigriwal,MAHARAJGANJ,BJP, 5 ,Graduate,10451986,376000
Pankaj Choudhary,MAHARAJGANJ,BJP, 5 ,12th Pass,371827109,4483048
Chunni Lal Sahu,MAHASAMUND,BJP,0,Graduate,17591683,1383014
Manne Srinivas Reddy,MAHBUBNAGAR,TRS,0,12th Pass,63353123,4569251
Shardaben Anilbhai Patel,MAHESANA,BJP,0,12th Pass,440308300,7477793
Mulayam Singh Yadav,MAINPURI,SP, 1 ,Post Graduate,205604593,22055657
Kunhalikutty,MALAPPURAM,IUML, 2 ,Graduate,52932535,0
Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,270959520,728107
Khagen Murmu,MALDAHA UTTAR,BJP, 4 ,Graduate,10232439,1070914
Anumula Revanth Reddy,MALKAJGIRI,INC, 42 ,Graduate,245357182,27807304
Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,15724337,783963
