Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Bapu Rao Soyam,ADILABAD,BJP, 52 ,12th Pass,3099414,231450
Satyapal Singh Baghel,AGRA,BJP, 5 ,Doctorate,74274036,8606522
Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,74699690,6252577
Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,89474039,0
Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,168664576,2623964
Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,85101774,8319942
Sanjay Shamrao Dhotre,AKOLA,BJP, 1 ,Graduate Professional,77153230,14985774
A M Ariff,ALAPPUZHA,CPI(M), 2 ,Graduate Professional,15268906,2220700
Ramya Haridas,ALATHUR,INC, 3 ,10th Pass,1152816,0
Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,109522559,28095176
John Barla,ALIPURDUARS,BJP, 9 ,8th Pass,1418730,0
Rita Bahuguna Joshi,ALLAHABAD,BJP, 6 ,Doctorate,26919330,1600000
Ajay Tamta,ALMORA,BJP,0,12th Pass,9910448,55845
Mahant Balak Nath,ALWAR,BJP,0,10th Pass,352929,0
Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,85993362,2431407
Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,54361499,188861
Ritesh Pandey,AMBEDKAR NAGAR,BSP, 1 ,Graduate,307265103,24739098
Smriti Irani,AMETHI,BJP,0,12th Pass,111099609,0
Navneet Ravi Rana,AMRAVATI,IND, 1 ,10th Pass,124554656,70576979
Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,35900763,828961
Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,34011739,9031565
Kunwar Danish Ali,AMROHA,BSP,0,Graduate,74920879,19579691
Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,91526244,11139279
Miteshbhai Patel,ANAND,BJP, 2 ,Others,77043053,7810840
Manish Tewari,ANANDPUR SAHIB,INC,0,Graduate Professional,154637860,0
Talari Rangaiah,ANANTAPUR,YSRCP, 1 ,Doctorate,11773091,1135547
Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,87620672,0
Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,132233012,80450870
Dharmendra Kumar,AONLA,BJP,0,10th Pass,21766502,3324300
S. Jagathrakshakan,ARAKKONAM,DMK, 2 ,10th Pass,1146984897,166365972
Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,141179,0
