Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Siraj Uddin Ajmal,BARPETA,AIUDF,0,Graduate,670806607,0
Dinesh Trivedi,BARRACKPUR,AITC,0,Post Graduate,53582340,15661349
Idris Ali,BASIRHAT,AITC, 9 ,Graduate Professional,9800277,0
Dinesh Kashyap,BASTAR,BJP, 1 ,Post Graduate,16108199,2191216
Harish Chandra,BASTI,BJP, 2 ,Post Graduate,5345882,860185
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,1081664910,412634299
Munde Gopinathrao Pandurang,BEED,BJP, 3 ,Graduate Professional,380072890,335729817
Bhola Singh,BEGUSARAI,BJP,0,Doctorate,25248102,0
Suresh Angadi,BELGAUM,BJP, 1 ,Graduate Professional,233390964,93072889
B Sreeramulu,BELLARY,BJP, 8 ,Graduate,151392844,4050947
Sidhant Mohapatra,BERHAMPUR,BJD,0,Graduate,16462430,1183828
Jyoti Dhurve,BETUL,BJP, 2 ,Post Graduate,26232000,1000000
Virendra Singh,BHADOHI,BJP,0,Graduate,11531458,791186
Arjun Charan Sethi,BHADRAK,BJD,0,Post Graduate,6730000,2424000
Shailesh Kumar Urph Bulo Mandal,BHAGALPUR,RJD, 1 ,12th Pass,20216734,0
Nanabhau Falgunrao Patole,BHANDARA GONDIYA,BJP, 5 ,Graduate,12738190,0
Bahadur Singh,BHARATPUR,BJP,0,Literate,19142363,1333100
Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,6571062,639000
Shyal Bhartiben Dhirubhai,BHAVNAGAR,BJP,0,Graduate Professional,10448925,3072058
Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,142870042,8665902
Bhagirath Prasad,BHIND,BJP,0,Doctorate,21240286,3687610
Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,363758831,10697367
Dharambir,BHIWANI MAHENDRAGARH,BJP,0,Graduate,50057200,4530000
Dr. Narsaiah Boora,BHONGIR,TRS,0,Post Graduate,202983225,13574088
Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,14594066,300000
"Prasanna Kumar Patasani,",BHUBANESWAR,BJD,0,Post Graduate,13557443,9590067
Bhagwanth,BIDAR,BJP,0,Graduate Professional,56559290,16829000
Ramesh Jigajinagi,BIJAPUR,BJP, 2 ,Graduate,89429828,5305043
Kunwar Bhartendra,BIJNOR,BJP, 2 ,Post Graduate,16340646,0
Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,18142863,1216408
Lakhanlal Sau S/o Kalyan Lal Sahu,BILASPUR,BJP,0,Post Graduate,8661133,306357
Satabdi Roy(banerjee),BIRBHUM,AITC,0,Graduate,54972174,5478944
Saumitra Khan,BISHNUPUR,AITC, 1 ,12th Pass,1197255,0
Kalikesh Narayan Singh Deo,BOLANGIR,BJD, 2 ,Graduate,87955818,24410449
Anupam Hazra,BOLPUR,AITC,0,Doctorate,4866883,0
Dr. Bhola Singh,BULANDSHAHR,BJP,0,Graduate,12577537,0
Jadhav Prataprao Ganpatrao,BULDHANA,SHS, 2 ,12th Pass,36033147,684092
Ashwini Kumar Choubey,BUXAR,BJP,0,Graduate,22100499,1923552
Innocent,CHALAKUDY,IND,0,8th Pass,54474761,1303000
R. Dhruvanarayana,CHAMARAJANAGAR,INC,0,Post Graduate,31519950,2605818
Mahendra Nath,CHANDAULI,BJP,0,Doctorate,26489505,1114000
Smt. Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,335343871,1886187
Dr. Harsh Vardhan,CHANDNI CHOWK,BJP, 2 ,Post Graduate,28229308,1780492
Ahir Hansraj Gangaram,CHANDRAPUR,BJP, 11 ,10th Pass,15548000,99500
Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,174744806,950052
S.r. Vijayakumar,CHENNAI CENTRAL,AIADMK,0,Graduate Professional,13401510,350483
Venkatesh Babu .t.g,CHENNAI NORTH,AIADMK,0,Post Graduate,37038275,804032
Dr. J. Jayavardhan,CHENNAI SOUTH,AIADMK,0,Graduate Professional,33959072,10981100
Konda Vishweshwar Reddy,CHEVELLA,TRS,0,Post Graduate,5286230210,74111133
Kamal Nath,CHHINDWARA,INC,0,Graduate,2069080434,51172087
Rathwa Ramsingbhai Patalbhai,CHHOTA UDAIPUR,BJP,0,Post Graduate,39769675,9763903
M.chandrakasi,CHIDAMBARAM,AIADMK,0,Graduate,7243646,2020472
M Veerappa Moily,CHIKKBALLAPUR,INC,0,Graduate Professional,137366682,39433827
Prakash Hukkeri,CHIKKODI,INC,0,12th Pass,75717628,3635650
B.n.chandrappa,CHITRADURGA,INC,0,Post Graduate,48303759,13800000
Naramalli Sivaprasad,CHITTOOR,TDP,0,Graduate Professional,14878003,0
Chandra Prakash,CHITTORGARH,BJP,0,Graduate,14134693,687284
Rahul Kaswan,CHURU,BJP,0,Graduate,25721266,5386104
"Nagarajan, P.",COIMBATORE,AIADMK,0,Graduate Professional,34306545,2235538
Renuka Sinha,COOCHBEHAR,AITC,0,Graduate Professional,13017282,0
A.arunmozhithevan,CUDDALORE,AIADMK, 9 ,Graduate Professional,15765250,0
Bhartruhari Mahatab,CUTTACK,BJD,0,Post Graduate,88834098,0
Natubhai G. Patel,DADRA AND NAGAR HAVELI,BJP, 5 ,5th Pass,154760217,62286836
Bhabhor Jasvantsinh Sumanbhai,DAHOD,BJP,0,Graduate Professional,19661231,1741547
Nalin Kumar Katil,DAKSHINA KANNADA,BJP, 1 ,10th Pass,9329001,1493367
Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,144931238,1234039
Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,39586235,12429302
Kirti Azad,DARBHANGA,BJP, 4 ,Graduate,28531267,431860
Surendrajeet Singh Ahluwalia,DARJEELING,BJP,0,Graduate Professional,23377223,443035
Harish Chandra,DAUSA,BJP,0,Graduate,60394789,45000
G.m. Siddeshwara,DAVANAGERE,BJP,0,10th Pass,232375703,17951455
Kalraj Mishra,DEORIA,BJP,0,Post Graduate,55048193,0
Manohar Untwal,DEWAS,BJP,0,12th Pass,6336490,1448086
Pashupati Nath Singh,DHANBAD,BJP, 1 ,Graduate,24248150,0
Savitri Thakur,DHAR,BJP,0,10th Pass,9606464,1582845
Anbumani Ramadoss,DHARMAPURI,PMK, 8 ,Graduate Professional,314378451,41941065
Pralhad Joshi,DHARWAD,BJP, 1 ,Graduate,41979658,6739989
Rekha,DHAURAHRA,BJP,0,12th Pass,10435468,2375000
Tathagata Satpathy,DHENKANAL,BJD, 7 ,Others,35434099,0
Badruddin Ajmal,DHUBRI,AIUDF, 1 ,Post Graduate,432748134,0
Bhamare Subhash Ramrao,DHULE,BJP,0,Post Graduate,125833320,660757
Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,15199272,0
Rameshwar Teli,DIBRUGARH,BJP,0,10th Pass,977943,0
Udhaya Kumar .m,DINDIGUL,AIADMK,0,Post Graduate,27810000,2800000
Chavan Harishchandra Deoram,DINDORI,BJP, 1 ,Graduate,37240147,881137
Jagdambika Pal,DOMARIYAGANJ,BJP,0,Post Graduate,17822082,4981555
Saugata Roy,DUM DUM,AITC,0,Post Graduate,19452010,2500000
Shibu Soren,DUMKA,JMM,0,10th Pass,46760684,1479721
Tamradwaj Sahu,DURG,INC,0,12th Pass,21002226,1777720
Mahesh Giri,EAST DELHI,BJP, 1 ,10th Pass,5216375,400000
Venkateswara Rao Maganti,ELURU,TDP, 2 ,10th Pass,129394729,55294433
K.v. Thomas,ERNAKULAM,INC,0,Post Graduate,11848550,522352
Selvakumara Chinnayan S,ERODE,AIADMK,0,Post Graduate,47459708,0
Rajvir Singh,ETAH,BJP,0,Graduate Professional,251921157,46898091
Ashok Kumar Doharey,ETAWAH,BJP,0,Graduate,12252688,0
Lallu Singh,FAIZABAD,BJP, 1 ,Post Graduate,15127861,3640964
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,296440144,19707475
Prof. Sadhu Singh,FARIDKOT,AAP,0,Post Graduate,5879516,70000
Harinder Singh Khalsa,FATEHGARH SAHIB,AAP,0,Post Graduate,35588128,6700000
Sadhavi Niranjan Jyoti,FATEHPUR,BJP, 1 ,12th Pass,3763779,176616
Babulal,FATEHPUR SIKRI,BJP, 3 ,12th Pass,73028848,16390000
Akshay Yadav,FIROZABAD,SP,0,Graduate,100883304,59377
Sher Singh Ghubaya,FIROZPUR,SAD,0,10th Pass,96121057,5133876
Ashok Mahadeorao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,12125676,5830550
Lal Krishna Advani,GANDHINAGAR,BJP, 1 ,Graduate Professional,75915276,0
Nihalchand,GANGANAGAR,BJP,0,Graduate,10861172,1611557
(maj Gen (retd.) ) Bhuwan Chandra Khanduri (avsm),GARHWAL,BJP,0,Graduate Professional,44357368,0
Smt. Bijoya Chakraborty,GAUHATI,BJP,0,Post Graduate,12574493,0
Mahesh Sharma,GAUTAM BUDHHA NAGAR,BJP,0,Graduate Professional,473797545,40905738
Hari Manjhi,GAYA,BJP, 1 ,8th Pass,10184120,2000000
Deepak Adhikari (dev),GHATAL,AITC,0,10th Pass,152447159,17493227
Vijay Kumar Singh,GHAZIABAD,BJP, 2 ,Doctorate,41137044,2026774
Manoj Sinha,GHAZIPUR,BJP,0,Graduate Professional,23376901,118700
Harinarayan Rajbhar,GHOSI,BJP,0,Literate,23403964,0
Ravindra Kumar Pandey,GIRIDIH,BJP,0,Graduate,73376970,1970628
Nishikant Dubey,GODDA,BJP, 5 ,Post Graduate,155633719,0
Kirti Vardhan Singh,GONDA,BJP,0,Post Graduate,74738429,9275782
Janak Ram,GOPALGANJ,BJP, 2 ,Post Graduate,10582664,1039000
Adityanath,GORAKHPUR,BJP, 3 ,Graduate,7217674,0
Mallikarjun Kharge,GULBARGA,INC,0,Graduate Professional,102220880,7410154
Jyotiraditya M. Scindia,GUNA,INC,0,Post Graduate,330888751,795000
Jayadev Galla,GUNTUR,TDP,0,Graduate,6830581361,202334283
Vinod Khanna,GURDASPUR,BJP,0,Graduate,669343376,12695306
Inderjit Singh,GURGAON,BJP,0,Graduate Professional,250698763,0
Narendra Singh Tomar,GWALIOR,BJP, 1 ,Graduate,11412622,4531444
Ram Vilas Paswan,HAJIPUR,LJP, 2 ,Post Graduate,9642023,0
Anurag Singh Thakur,HAMIRPUR,BJP, 10 ,Graduate,46535803,2074555
Kunwar Pushpendra Singh,HAMIRPUR,BJP, 1 ,Post Graduate,71265181,2825539
Anshul Verma,HARDOI,BJP,0,Post Graduate,30385000,0
Ramesh Pokhariyal Nishank,HARDWAR,BJP, 1 ,Doctorate,17917274,1860684
H.d. Devegowda,HASSAN,JD(S),0,Others,42721242,8648283
Rajesh Kumar,HATHRAS,BJP,0,Graduate Professional,5651457,0
Raju Shetty,HATKANANGLE,Swabhimani Paksha, 12 ,10th Pass,9896221,1504152
Udasi Shivakumar Channabasappa,HAVERI,BJP,0,12th Pass,576693538,54423645
Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,556814579,86380600
Kristappa Nimmala,HINDUPUR,TDP, 2 ,Graduate,40793638,998480
Rajeev Shankarrao Satav,HINGOLI,INC,0,Graduate Professional,49681499,584357
Dushyant Chautala,HISAR,INLD,0,Graduate,361326990,68744460
Ratna De,HOOGHLY,AITC,0,Graduate Professional,18617757,0
Uday Pratap Singh,HOSHANGABAD,BJP, 1 ,Graduate,133375092,3775714
Vijay Sampla,HOSHIARPUR,BJP,0,10th Pass,15164322,4020543
Prasun Banerjee,HOWRAH,AITC,0,Graduate,10041098,0
Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen, 4 ,Graduate Professional,40611099,14000000
Adv.joice George,IDUKKI,IND, 4 ,Post Graduate,17396207,9417720
Sumitra Mahajan,INDORE,BJP,0,Post Graduate,18732234,3539000
Dr. Thokchom Meinya,INNER MANIPUR,INC,0,Doctorate,3825200,0
Rakesh Singh Urf Ghanshyam Singh,JABALPUR,BJP, 1 ,Graduate,26564889,0
Sugata Bose,JADAVPUR,AITC,0,Doctorate,46315770,0
Kulamani Samal,JAGATSINGHPUR,BJD,0,Graduate Professional,25158570,0
Dr. Arun Kumar,JAHANABAD,Rashtriya Lok Samta Party, 1 ,Doctorate,38846631,1000000
Ramcharan Bohara,JAIPUR,BJP,0,12th Pass,135809546,23871000
Rajyavardhan Singh Rathore,JAIPUR RURAL,BJP,0,Graduate,83734044,117065
Rita Tarai,JAJPUR,BJD,0,12th Pass,1622003,0
Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,104040531,6194323
Bhanu Pratap Singh,JALAUN,BJP,0,Post Graduate,5774068,650000
Patil Ashok Tapiram,JALGAON,BJP,0,Graduate,226180395,0
Danve Raosaheb Dadarao,JALNA,BJP, 4 ,Graduate,184411862,8534130
Devji Patel,JALORE,BJP,0,10th Pass,51846777,12780726
Bijoy Chandra Barman,JALPAIGURI,AITC,0,Post Graduate,9396430,797019
Jugal Kishore,JAMMU,BJP,0,10th Pass,26824308,300000
Maadam Poonamben Hematbhai,JAMNAGAR,BJP,0,Graduate,174372249,62824615
Bidyut Baran Mahato,JAMSHEDPUR,BJP, 8 ,12th Pass,16027526,715347
Chirag Kumar Paswan,JAMUI,LJP,0,12th Pass,10414470,4458954
Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,63014502,15160000
Smt. Kamla Patle,JANJGIR-CHAMPA,BJP,0,12th Pass,18224350,0
Krishna Pratap,JAUNPUR,BJP,0,Doctorate,40656909,4673939
Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,10614252,0
Dushyant,JHALAWAR BARAN,BJP,0,Post Graduate,239006838,2798782
Birendra Kumar Chaudhary,JHANJHARPUR,BJP,0,Post Graduate,5158792,0
Uma Bharti,JHANSI,BJP, 13 ,5th Pass,14376218,0
Uma Saren,JHARGRAM,AITC,0,Graduate Professional,499646,0
Santosh Ahlawat,JHUNJHUNU,BJP,0,Post Graduate,35897048,5704000
Gajendrasingh Shekhawat,JODHPUR,BJP,0,Post Graduate,143491494,92198588
Kamakhya Prasad Tasa,JORHAT,BJP,0,Post Graduate,1694785,0
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP, 1 ,12th Pass,7446059,1110690
Chavda Vinod Lakhmashi,KACHCHH,BJP,0,Graduate Professional,5618643,411255
Avinash Reddy Yeduguri Sandinti,KADAPA,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,70480623,5547296
Hukum Singh,KAIRANA,BJP, 2 ,Graduate Professional,29078847,2941671
Brij Bhusan Sharan Singh,KAISERGANJ,BJP, 2 ,Graduate Professional,61696767,11556027
Thota Venkata Narasimham,KAKINADA,TDP,0,Graduate,17495976,120000
Arka Keshari Deo,KALAHANDI,BJD,0,Graduate,69822063,831688
Gourav Gogoi,KALIABOR,INC,0,Post Graduate,5473199,1042133
K. Kamaraj,KALLAKURICHI,AIADMK,0,Post Graduate,35459256,544099
Dr.shrikant Eknath Shinde,KALYAN,SHS,0,Graduate Professional,998000,0
Maragatham K,KANCHEEPURAM,AIADMK,0,12th Pass,18997050,4468600
Hemendra Chandra Singh,KANDHAMAL,BJD, 2 ,Graduate,503907437,4786551
Shanta Kumar,KANGRA,BJP,0,Graduate Professional,19852104,0
Vikram Usendi,KANKER,BJP,0,10th Pass,23376000,869000
Dimple Yadav,KANNAUJ,SP,0,Graduate,280516418,6917710
Radhakrishnan P.,KANNIYAKUMARI,BJP,0,Graduate Professional,40963269,0
P K Sreemathi,KANNUR,CPI(M), 8 ,Others,16939970,0
Dr.murli Manohar Joshi,KANPUR,BJP, 1 ,Doctorate,78410008,0
Sisir Kumar Adhikari,KANTHI,AITC, 1 ,12th Pass,19498381,0
Upendra Kushwaha,KARAKAT,Rashtriya Lok Samta Party, 4 ,Post Graduate,24829741,823834
Manoj Rajoria,KARAULI DHOLPUR,BJP,0,Post Graduate,28636113,3277324
Radheshyam Biswas,KARIMGANJ,AIUDF,0,12th Pass,7068281,0
Vinod Kumar Boinapally,KARIMNAGAR,TRS,0,Graduate Professional,97275990,0
Ashwini Kumar,KARNAL,BJP, 6 ,Graduate,698638135,153937858
Thambidurai.m,KARUR,AIADMK, 2 ,Doctorate,132457262,51481886
P Karunakaran,KASARAGOD,CPI(M), 6 ,Post Graduate,5900345,0
Shah Tariq Anwar,KATIHAR,NCP, 1 ,Graduate,104600951,20454853
Vinod Kumar,KAUSHAMBI,BJP,0,Graduate,27091681,10932227
Sri Baijayant Panda,KENDRAPARA,BJD,0,Graduate Professional,312432726,300000
Sakuntala Laguri,KEONJHAR,BJD,0,10th Pass,101531625,0
Ranjit Singh Brahmpura,KHADOOR SAHIB,SAD,0,8th Pass,177814755,4200000
Choudhary Mahboob Ali Kaiser,KHAGARIA,LJP, 1 ,Graduate,66569502,0
Nagendra Singh,KHAJURAHO,BJP,0,Graduate,44538002,0
Ponguleti Srinivasa Reddy,KHAMMAM,Yuvajana Sramika Rythu Congress Party,0,12th Pass,346150516,1240000
Nandkumar Singh Chouhan,KHANDWA,BJP,0,Post Graduate,40188989,9561188
Subhash Patel,KHARGONE,BJP,0,Post Graduate,36138699,2300000
Chauhan Devusinh Jesingbhai,KHEDA,BJP,0,12th Pass,9426376,1047919
Ajay Kumar,KHERI,BJP, 2 ,Graduate Professional,26505977,10000000
Karia Munda,KHUNTI,BJP,0,Post Graduate,7474796,0
Mohammad Asrarul Haque,KISHANGANJ,INC, 2 ,Post Graduate,4616629,0
Ravindra Kumar Ray,KODARMA,BJP,0,Doctorate,10564046,200000
Naba Kumar Sarania,KOKRAJHAR,IND, 3 ,12th Pass,2155559,0
K H Muniyappa,KOLAR,INC,0,Graduate Professional,184663000,27863000
Dhananjay Bhimrao Mahadik,KOLHAPUR,NCP, 1 ,Graduate,448882000,71333000
Subrata Bakshi,KOLKATA DAKSHIN ,AITC,0,Graduate Professional,10265428,168891
Sudip Bandyopadhyay,KOLKATA UTTAR,AITC, 1 ,Graduate,22086278,450000
N.k.premachandran,KOLLAM,RSP, 1 ,Graduate Professional,16228989,3114638
Sanganna A. Karadi,KOPPAL,BJP, 1 ,10th Pass,12127000,6848000
Jhina Hikaka,KORAPUT,BJD,0,Post Graduate,8800000,0
Dr. Banshilal Mahato,KORBA,BJP,0,Graduate Professional,72303762,382905
Om Birla,KOTA,BJP, 2 ,Post Graduate,25870497,997366
Jose K Mani,KOTTAYAM,KC(M),0,Post Graduate,26236371,0
M .k Raghavan,KOZHIKODE,INC,0,Graduate,6164901,1558128
Ashok Kumar.k,KRISHNAGIRI,AIADMK, 3 ,10th Pass,1176436,0
Tapas Paul,KRISHNANAGAR,AITC, 4 ,Graduate,27829669,0
Butta Renuka,KURNOOL,Yuvajana Sramika Rythu Congress Party, 1 ,10th Pass,2426240513,312279927
Rajkumar Saini,KURUKSHETRA,BJP,0,Graduate,132880476,23262108
Rajesh Pandey Urf Guddu,KUSHI NAGAR,BJP,0,Graduate,110407014,1107357
Thupstan Chhewang,LADAKH,BJP,0,Graduate Professional,19852701,80000
Sarbananda Sonowal,LAKHIMPUR,BJP,0,Graduate Professional,14497515,0
Mohammed Faizal.p.p,LAKSHADWEEP,NCP, 3 ,Post Graduate,538119,0
Neelam,LALGANJ,BJP, 1 ,Post Graduate,33863562,2631312
Gaikwad Sunil Baliram,LATUR,BJP,0,Doctorate,17463251,0
Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,9031009,178967
Raj Nath Singh,LUCKNOW,BJP,0,Post Graduate,29240729,0
Ravneet Singh Bittu,LUDHIANA,INC,0,12th Pass,31509170,192000
Ram Charitra Nishad,MACHHLISHAHR,BJP,0,12th Pass,8641278,0
Konakalla Narayana Rao,MACHILIPATNAM,TDP,0,12th Pass,34850000,9800000
Mohite Patil Vijaysinh Shankarrao,MADHA,NCP, 1 ,10th Pass,170253390,9774791
Rajesh Ranjan Urf Pappu Yadav,MADHEPURA,RJD, 24 ,Graduate,81242966,956306
Hukum Deo Narayan Yadav,MADHUBANI,BJP,0,Graduate,77978890,0
R.gopalakrishnan,MADURAI,AIADMK,0,Graduate,72503060,7406366
Prof. Azmeera Seetaram Naik,MAHABUBABAD,TRS,0,Doctorate,8008000,4100000
Pankaj,MAHARAJGANJ,BJP,0,12th Pass,191819151,2151048
Janardan Singh Sigriwal,MAHARAJGANJ,BJP, 4 ,Graduate,4795223,10000
Chandu Lal Sahu (chandu Bhaiya) S/o Late Puneen Ram,MAHASAMUND,BJP,0,Graduate Professional,20879652,2700000
A P Jithender Reddy,MAHBUBNAGAR,TRS, 4 ,Graduate,140831576,1386969
Patel Jayshreeben Kanubhai,MAHESANA,BJP,0,10th Pass,13278493,1814057
Mulayam Singh Yadav,MAINPURI,SP,0,Post Graduate,159671544,0
E. Ahamed,MALAPPURAM,IUML,0,Graduate Professional,11818952,0
Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,11560825,654320
Mausam Noor,MALDAHA UTTAR,INC,0,Graduate Professional,9778222,28534
Ch.malla Reddy,MALKAJGIRI,TDP,0,12th Pass,488525332,6328146
Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,10178871,571823
Faggan Singh Kulaste,MANDLA,BJP, 2 ,Post Graduate,25738420,98311
Sudhir Gupta,MANDSOUR,BJP,0,Post Graduate,57429237,3058993
C.s.puttaraju,MANDYA,JD(S),0,12th Pass,45209196,11231000
Ramen Deka,MANGALDOI,BJP,0,Graduate,14782357,5400953
