Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Inder Sain,SP, 6 ,Graduate,56,Gangoh + Saharanpur,115285066,9448437
Kirat Singh,BJP,0,Graduate,55,Gangoh + Saharanpur,22521327,1158633
Mausam Ali Rana,Aazad Samaj Party (Kanshi Ram),0,Literate,40,Gangoh + Saharanpur,9205000,2850000
Noman Masood,BSP,0,12th Pass,53,Gangoh + Saharanpur,61885738,1600000
Rajveer,IND,0,12th Pass,49,Gangoh + Saharanpur,17797000,700000
Vakar Azhar,Bahujan Mukti Party,0,Graduate,26,Gangoh + Saharanpur,119000,0
Dr. Anil Kumar Singh,IND,0,Doctorate,41,Etmadpur + Agra,2024258,1200000
Dr. Dharmpal Singh,BJP, 1 ,Doctorate,58,Etmadpur + Agra,71759650,0
Dr.Virendra Singh Chauhan,SP,0,Doctorate,54,Etmadpur + Agra,36232480,1200000
Kapil Gautam,IND,0,12th Pass,42,Etmadpur + Agra,50000,0
Maha Veer,IND,0,8th Pass,63,Etmadpur + Agra,719572,0
Praval Pratap Singh,BSP, 1 ,Graduate,44,Etmadpur + Agra,30343673,132488
Rakesh Kumar Gupta,Rashtriya Vyapari Party,0,Graduate,51,Etmadpur + Agra,3700287,70000
Satish,Bahujan Mukti Party,0,Not Given,66,Etmadpur + Agra,5075000,0
Shailendra Pal Singh,IND,0,Graduate Professional,32,Etmadpur + Agra,2038765,0
Shiv Charan Lal,IND,0,12th Pass,63,Etmadpur + Agra,1000,0
Shivanidevi Devi,INC,0,12th Pass,26,Etmadpur + Agra,1780000,0
Sumit Singh,AAP,0,Post Graduate,32,Etmadpur + Agra,716000,0
Sunil Ojha,Bharatiya Subhash Sena,0,Post Graduate,33,Etmadpur + Agra,405500,0
Vinod Singh,Peace Party,0,8th Pass,48,Etmadpur + Agra,560000,0
Akash Soni,IND,0,5th Pass,26,Agra Cantt. (Sc) + Agra,95891,0
Dr. Bhartendra Kumar Arun,BSP, 6 ,Graduate,47,Agra Cantt. (Sc) + Agra,65420598,0
Dr. G S Dharmesh,BJP, 1 ,Graduate Professional,68,Agra Cantt. (Sc) + Agra,43597778,0
Hari Kishan,IND,0,8th Pass,61,Agra Cantt. (Sc) + Agra,548000,120540
Kunwar Chand,SP,0,Graduate Professional,63,Agra Cantt. (Sc) + Agra,9916764,0
Mona,Peace Party,0,12th Pass,33,Agra Cantt. (Sc) + Agra,1135000,0
Prakash Indiver,IND,0,12th Pass,38,Agra Cantt. (Sc) + Agra,46450,0
Prem Singh,AAP,0,Post Graduate,32,Agra Cantt. (Sc) + Agra,107121,0
Sikandar Singh,INC,0,12th Pass,34,Agra Cantt. (Sc) + Agra,2182000,0
Sundar Singh,Bharatiya Majdoor Janta Party,0,Literate,35,Agra Cantt. (Sc) + Agra,456922,0
Alamgir,Peace Party,0,12th Pass,46,Agra South + Agra,20227383,600000
Anuj Sharma,INC, 1 ,8th Pass,36,Agra South + Agra,1103354,0
Derek Smith,Adarsh Samaj Party,0,Post Graduate,68,Agra South + Agra,107708671,0
Mohd Kamil,Indian Union Muslim League, 4 ,Literate,33,Agra South + Agra,767712,0
Prem Singh,Lokpriya Rashtrawadi Party,0,10th Pass,51,Agra South + Agra,32500,0
Ramjani,AAP, 4 ,8th Pass,49,Agra South + Agra,5178350,200000
Rashid Ali Choudhary,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,35,Agra South + Agra,12454000,0
Ravi Bharadwaj,BSP,0,12th Pass,45,Agra South + Agra,21362171,438407
Vinay Agarwal,SP,0,Graduate,50,Agra South + Agra,22830691,6303292
Yogendra Upadhyaya,BJP, 4 ,Post Graduate,66,Agra South + Agra,45622250,0
Gyanendra,SP, 1 ,Graduate Professional,40,Agra North + Agra,33912183,4682844
Kapil Vajpai,AAP,0,Graduate,42,Agra North + Agra,4024447,4300
Manish,IND,0,Post Graduate,36,Agra North + Agra,9400000,0
Mohit Agarwal,Jan Abhiyan Party,0,Post Graduate,45,Agra North + Agra,3357238,0
Neel,Bharatiya Majdoor Janta Party,0,12th Pass,29,Agra North + Agra,10000,0
Niranjan Singh,IND,0,10th Pass,62,Agra North + Agra,11835000,0
Om Prakash Rajput,Adarsh Samaj Party,0,Post Graduate,56,Agra North + Agra,13094900,0
Purushottam Khandelwal,BJP,0,10th Pass,60,Agra North + Agra,11789777,0
Rajeev Agarwal,Saman Adhikar Party,0,Graduate,64,Agra North + Agra,16072861,5230219
Sashank Agarwal,IND,0,Post Graduate,29,Agra North + Agra,2940953,0
Shabbir Abbas,BSP,0,Post Graduate,56,Agra North + Agra,247429624,14324271
Vineet Agarwal,IND,0,Graduate,42,Agra North + Agra,173319,0
Vinod Bansal,INC, 1 ,Post Graduate,70,Agra North + Agra,23190729,1406000
Arun Kumar Katheria,AAP,0,Graduate Professional,37,Agra Rural (Sc) + Agra,3692428,1206945
Baby Rani Maurya,BJP,0,Post Graduate,65,Agra Rural (Sc) + Agra,28672774,0
Balvir,Rashtriya Samaj Paksha,0,Graduate,30,Agra Rural (Sc) + Agra,61511170,0
Kiran Prabha Keshari,BSP,0,Graduate Professional,41,Agra Rural (Sc) + Agra,15230358,1378073
Mahesh Kumar,RLD, 2 ,5th Pass,52,Agra Rural (Sc) + Agra,98780881,7251846
Pankaj Kumar,IND,0,Graduate Professional,28,Agra Rural (Sc) + Agra,28127944,1378323
Rajendra Singh,IND,0,8th Pass,45,Agra Rural (Sc) + Agra,3575685,0
Suresh Chand Varun,IND,0,10th Pass,30,Agra Rural (Sc) + Agra,20000,0
Upendra Singh,INC, 2 ,Post Graduate,51,Agra Rural (Sc) + Agra,35511225,3399372
Babulal,BJP, 7 ,10th Pass,69,Fatehpur Sikri + Agra,67137618,900000
Brijesh Kumar,RLD, 6 ,Post Graduate,47,Fatehpur Sikri + Agra,65220000,0
Dr.Kumrendra Singh,IND,0,Doctorate,62,Fatehpur Sikri + Agra,75122736,0
Hemant Singh,INC,0,Graduate,32,Fatehpur Sikri + Agra,19637518,2571102
Hina Naz Sheravani,VANCHITSAMAJ INSAAF PARTY,0,8th Pass,33,Fatehpur Sikri + Agra,404900,0
Jagdish,Aazad Samaj Party (Kanshi Ram),0,8th Pass,60,Fatehpur Sikri + Agra,50000,0
