Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Godam Nagesh   Winner ,TRS,0,Post Graduate,49,Adilabad + Telangana,10378857,148784
Banka Sahadev,IND, 1 ,Graduate,53,Adilabad + Telangana,393000,0
Mosali Chinnaiah,IND,0,12th Pass,40,Adilabad + Telangana,3167000,40000
Naresh,INC,0,Doctorate,37,Adilabad + Telangana,1800000,0
Nethawath Ramdas,IND,0,Illiterate,44,Adilabad + Telangana,0,0
Pawar Krishna,IND, 1 ,Post Graduate,33,Adilabad + Telangana,0,0
Ramesh Rathod,TDP, 3 ,12th Pass,48,Adilabad + Telangana,19140000,41832000
Rathod Sadashiv,BSP,0,Graduate,55,Adilabad + Telangana,1405000,0
Balka Suman   Winner ,TRS, 1 ,Post Graduate,31,Peddapalle + Telangana,7351329,620770
B.venkata Mallaiah,B. C. United Front,0,10th Pass,58,Peddapalle + Telangana,5625000,0
Bupelli Narayana,IND,0,Doctorate,30,Peddapalle + Telangana,0,0
Dr.gaddam Vivekanand,INC, 1 ,Graduate Professional,56,Peddapalle + Telangana,2665292981,123152497
Dr.janapati Sarat Babu,TDP,0,Graduate Professional,42,Peddapalle + Telangana,11265199,3875000
Gaddala Vinay Kumar,IND,0,8th Pass,56,Peddapalle + Telangana,8237500,488664
Gorre Ramesh,IND,0,Post Graduate,47,Peddapalle + Telangana,621500,200000
Injam Venkata Swamy,Mahajana Socialist Party,0,Post Graduate,42,Peddapalle + Telangana,50000,0
J.v. Raju,New India Party,0,12th Pass,50,Peddapalle + Telangana,150000,0
Jinna Ramadevi,IND,0,8th Pass,37,Peddapalle + Telangana,60000,0
K.jaya Rao,IND, 2 ,10th Pass,43,Peddapalle + Telangana,755000,0
Kalvala Sanjeev,RPI,0,Graduate Professional,37,Peddapalle + Telangana,4731000,2200000
Kalvala Shankar,Pyramid Party of India,0,Graduate,44,Peddapalle + Telangana,670000,0
Motam Ravinder,IND,0,Illiterate,35,Peddapalle + Telangana,900000,0
Tagaram Shankar Lal,BSP, 2 ,Post Graduate,37,Peddapalle + Telangana,690600,0
Thallapalli Srinivas,IND, 1 ,Post Graduate,35,Peddapalle + Telangana,420000,0
Velthuru Mallaiah,Republican Paksha (Khoripa),0,10th Pass,57,Peddapalle + Telangana,2155000,0
Vinod Kumar Boinapally   Winner ,TRS,0,Graduate Professional,54,Karimnagar + Telangana,97275990,0
Burla Ravi,NCP,0,10th Pass,42,Karimnagar + Telangana,595000,300000
Byagari Laxman,BSP,0,Post Graduate,53,Karimnagar + Telangana,13180000,0
Chennamaneni Vidya Sagar Rao,BJP,0,Graduate Professional,73,Karimnagar + Telangana,41209642,6369354
Dr.dharmaiah Vendavetla,Bahujan Mukti Party,0,Doctorate,61,Karimnagar + Telangana,8985000,0
Kandem Prabhakar,IND,0,Graduate,45,Karimnagar + Telangana,8600000,2000000
Lenkala Prabhakar Reddy,Pyramid Party of India,0,Graduate,48,Karimnagar + Telangana,60000,0
Mallesh Yadav Barla,IND,0,Graduate,26,Karimnagar + Telangana,1020000,120000
Meesala Raji Reddy,Yuvajana Sramika Rythu Congress Party,0,5th Pass,44,Karimnagar + Telangana,3150000,0
Mohammed Amjad Mohiuddin,IND, 1 ,Graduate,42,Karimnagar + Telangana,670000,0
Ponnam Prabhakar,INC, 1 ,Post Graduate,47,Karimnagar + Telangana,3806747,0
Pulikota Ramesh,IND,0,8th Pass,34,Karimnagar + Telangana,150000,0
Ranaveni Lakshman,New India Party,0,10th Pass,41,Karimnagar + Telangana,620000,0
Reddi Malla Srinivas,RPI(A), 1 ,Graduate Professional,46,Karimnagar + Telangana,1760000,0
Shaik Mahmood,Welfare Party Of India,0,Graduate,58,Karimnagar + Telangana,2055000,0
Srinivas Reddy Lingampally,IND,0,12th Pass,41,Karimnagar + Telangana,120000,0
Uppuleti Laxman,IND,0,5th Pass,49,Karimnagar + Telangana,30000,0
Kalvakuntla Kavitha   Winner ,TRS, 8 ,Graduate Professional,36,Nizamabad + Telangana,61955750,3213119
Abdul Gani,B. C. United Front, 2 ,Graduate,39,Nizamabad + Telangana,3633263,705948
Abdul Kareem Khan,IND,0,8th Pass,44,Nizamabad + Telangana,6850000,800000
Bagwan B,IND,0,Not Given,49,Nizamabad + Telangana,100000,0
Banja Veerappa,Pyramid Party of India,0,10th Pass,54,Nizamabad + Telangana,2318000,273820
Chirulingadrulu Venkatesham,IND,0,12th Pass,40,Nizamabad + Telangana,130000,0
Endala Lakshminarayana,BJP,0,Graduate,51,Nizamabad + Telangana,35586859,3356600
Kandem Prabhakar,IND,0,Graduate,45,Nizamabad + Telangana,9525000,1500000
Kotapati Narsimham Naidu,IND,0,Graduate Professional,56,Nizamabad + Telangana,16711873,6452871
Madhu Yaskhi Goud,INC,0,Post Graduate,56,Nizamabad + Telangana,298919187,5098943
Malik Mohtasim Ali Khan,Welfare Party Of India,0,Post Graduate,42,Nizamabad + Telangana,1975000,0
